   0 |     clk      en     rst     foo     bar  cntfoo  cntbar
   2 |       1       0       1       0       0       0       0
   6 |       1       0       1       0       0       0       0
  10 |       1       0       1       0       0       0       0
  14 |       1       1       0       0       0       0       0
  18 |       1       1       0       0       0       0       0
  22 |       1       1       0       1       0       0       0
  26 |       1       1       0       0       0       1       0
  30 |       1       1       0       0       1       1       0
  34 |       1       1       0       1       0       1       1
  38 |       1       1       0       0       0       2       1
  42 |       1       1       0       0       0       2       1
  46 |       1       1       0       1       0       2       1
  50 |       1       1       0       0       1       3       1
  54 |       1       1       0       0       0       3       2
  58 |       1       1       0       1       0       3       2
  62 |       1       1       0       0       0       4       2
  66 |       1       1       0       0       0       4       2
  70 |       1       1       0       1       1       4       2
  74 |       1       1       0       0       0       5       3
  78 |       1       1       0       0       0       5       3
  82 |       1       1       0       1       0       5       3
  86 |       1       1       0       0       0       6       3
  90 |       1       1       0       0       1       6       3
  94 |       1       1       0       1       0       6       4
  98 |       1       1       0       0       0       7       4
 102 |       1       1       0       0       0       7       4
 106 |       1       1       0       1       0       7       4
 110 |       1       1       0       0       1       8       4
 114 |       1       1       0       0       0       8       5
 118 |       1       1       0       1       0       8       5
 122 |       1       1       0       0       0       9       5
 126 |       1       1       0       0       0       9       5
 130 |       1       1       0       1       1       9       5
 134 |       1       1       0       0       0      10       6
 138 |       1       1       0       0       0      10       6
 142 |       1       1       0       1       0      10       6
 146 |       1       1       0       0       0      11       6
 150 |       1       1       0       0       1      11       6
 154 |       1       1       0       1       0      11       7
 158 |       1       1       0       0       0      12       7
 162 |       1       1       0       0       0      12       7
 166 |       1       1       0       1       0      12       7
 170 |       1       1       0       0       1      13       7
 174 |       1       1       0       0       0      13       8
 178 |       1       1       0       1       0      13       8
 182 |       1       1       0       0       0      14       8
 186 |       1       1       0       0       0      14       8
 190 |       1       1       0       1       1      14       8
 194 |       1       1       0       0       0      15       9
 198 |       1       1       0       0       0      15       9
 202 |       1       1       0       1       0      15       9
 206 |       1       1       0       0       0      16       9
 210 |       1       1       0       0       1      16       9
 214 |       1       0       0       0       1      16       9
 218 |       1       0       0       0       1      16       9
 222 |       1       0       0       0       1      16       9
 226 |       1       0       0       0       1      16       9
 230 |       1       0       0       0       1      16       9
